goid	go_term	go_aspect	go_definition
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	C	Cyclin-dependent protein kinases (CDKs) are heterodimeric enzymes that contain a kinase catalytic subunit associated with a regulatory cyclin partner.
GO:0000333	telomerase catalytic core complex	C	The minimal catalytic core of telomerase is a ribonucleoprotein complex composed of a catalytic reverse transcriptase subunit and an RNA subunit that provides the template for telomeric DNA addition.
GO:0000346	transcription export complex	C	The transcription export (TREX) complex couples transcription elongation by RNA polymerase II to mRNA export. The complex associates with the polymerase and travels with it along the length of the transcribed gene. TREX is composed of the THO transcription elongation complex as well as other proteins that couple THO to mRNA export proteins. The TREX complex is known to be found in a wide range of eukaryotes, including S. cerevisiae and metazoans.
GO:0000408	EKC/KEOPS complex	C	A protein complex proposed to be involved in transcription as well as promoting telomere uncapping and telomere elongation. For example, in Saccharomyces cerevisiae the complex contains Bud32p, Kae1p, Gon7p, Cgi121p, and Pcc1p.
GO:0000417	HIR complex	C	A protein complex proposed to be involved in replication-independent nucleosome assembly, by promoting histone deposition onto DNA. For example, in Saccharomyces, the complex contains Hir1p, Hir2p, Hir3p, and Hpc2p.
GO:0000439	core TFIIH complex	C	The 7 subunit core of TFIIH that is a part of either the general transcription factor holo-TFIIH or the nucleotide-excision repair factor 3 complex. In S. cerevisiae/humans the complex is composed of: Ssl2/XPB, Tfb1/p62, Tfb2/p52, Ssl1/p44, Tfb4/p34, Tfb5/p8 and Rad3/XPD.
GO:0000445	THO complex part of transcription export complex	C	The THO complex when it is part of the TREX (TRanscription EXport) complex that is involved in coupling transcription to export of mRNAs to the cytoplasm. In S. cerevisiae, it is composed of four subunits: Hpr1, Tho2, Thp1, and Mft1, while the human complex is composed of 7 subunits.
GO:0000446	nucleoplasmic THO complex	C	The THO complex when it is acting as a nuclear complex that is required for transcription elongation through genes containing tandemly repeated DNA sequences. In S. cerevisiae, it is composed of four subunits: Hpr1, Tho2, Thp2, and Mft1, while the human complex is composed of 7 subunits.
GO:0000500	RNA polymerase I upstream activating factor complex	C	A complex required for the transcription of rDNA by RNA polymerase I. In yeast the complex consists of Rrrn5p, Rrn9p, Rrn10p, histones H3 and H4, and Uaf30p.
GO:0000502	proteasome complex	C	A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that act in regulating entry into or exit from the core.
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	C	An enzyme complex that catalyzes the transfer of GlcNAc from UDP-GlcNAc to an acceptor phosphatidylinositol, the first step in the production of GPI anchors for cell surface proteins. The complex contains PIG-A, PIG-C, PIG-H, PIG-Q, PIG-P, and DPM2 in human, and Eri1p, Gpi1p, Gpi2p, Gpi15p, Gpi19p, and Spt14p in budding yeast.
GO:0000746	conjugation	P	The union or introduction of genetic information from compatible mating types that results in a genetically different individual. Conjugation requires direct cellular contact between the organisms.
GO:0000775	chromosome, centromeric region	C	The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome.
GO:0000776	kinetochore	C	A multisubunit complex that is located at the centromeric region of DNA and provides an attachment point for the spindle microtubules.
GO:0000778	condensed nuclear chromosome kinetochore	C	A multisubunit complex that is located at the centromeric region of a condensed chromosome in the nucleus and provides an attachment point for the spindle microtubules.
GO:0000780	condensed nuclear chromosome, centromeric region	C	The region of a condensed chromosome in the nucleus that includes the centromere and associated proteins, including the kinetochore. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome.
GO:0000783	nuclear telomere cap complex	C	A complex of DNA and protein located at the end of a linear chromosome in the nucleus that protects and stabilizes a linear chromosome.
GO:0000788	nuclear nucleosome	C	A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA in the nucleus into higher order structures.
GO:0000798	nuclear cohesin complex	C	A cohesin complex required for cohesion between sister chromatids that remain in the nucleus.
GO:0000799	nuclear condensin complex	C	A multisubunit protein complex that plays a central role in the condensation of chromosomes that remain in the nucleus.
GO:0000811	GINS complex	C	A heterotetrameric protein complex that associates with replication origins, where it is required for the initiation of DNA replication, and with replication forks.
GO:0000812	Swr1 complex	C	A multisubunit protein complex that is involved in chromatin remodeling. It is required for the incorporation of the histone variant H2AZ into chromatin. In S. cerevisiae, the complex contains Swr1p, a Swi2/Snf2-related ATPase, and 12 additional subunits.
GO:0000813	ESCRT I complex	C	An endosomal sorting complex required for transport. It consists of the class E vacuolar protein sorting (Vps) proteins and interacts with ubiquitinated cargoes.
GO:0000814	ESCRT II complex	C	An endosomal sorting complex required for transport and functions downstream of ESCRT I complex. It consists of the class E vacuolar protein sorting (Vps) proteins and is required for the membrane recruitment of ESCRT III complex and binds to ubiquitinated cargoes.
GO:0000815	ESCRT III complex	C	An endosomal sorting complex required for transport. Consists of two soluble subcomplexes of highly charged coiled-coil proteins and is required for sorting and/or concentration of multivesicular body (MVB) cargoes.
GO:0000817	COMA complex	C	A multiprotein complex in yeast consisting of Ctf19p, Okp1p, Mcm21p, and Ame1p. This complex bridges the subunits that are in contact with centromeric DNA and the subunits bound to microtubules during kinetochore assembly.
GO:0000818	nuclear MIS12/MIND complex	C	A multiprotein kinetochore subcomplex that binds to centromeric chromatin and forms part of the inner kinetochore of a chromosome in the nucleus. It helps to recruit outer kinetochore subunits that will bind to microtubules. Nuclear localization arises in some organisms because the nuclear envelope is not broken down during mitosis. In S. cerevisiae, it consists of at least four proteins: Mtw1p, Nnf1p, Nsl1p, and Dsn1.
GO:0000837	Doa10p ubiquitin ligase complex	C	A multiprotein complex that recognizes and ubiquitinates membranes proteins with misfolded cytosolic domains during ER-associated protein degradation (ERAD). In S. cerevisiae, this complex contains the ubiquitin ligase Ssm4p/Doa10p.
GO:0000838	Hrd1p ubiquitin ligase ERAD-M complex	C	A multiprotein complex that recognizes and ubiquitinates proteins with misfolded membrane domains during ER-associated protein degradation (ERAD). In S. cerevisiae, this complex contains the ubiquitin ligase Hrd1p.
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex	C	A multiprotein complex that recognizes and ubiquitinates proteins with misfolded luminal domains during ER-associated protein degradation (ERAD). In S. cerevisiae, this complex contains the ubiquitin ligase Hrd1p.
GO:0000902	cell morphogenesis	P	The developmental process in which the size or shape of a cell is generated and organized.
GO:0000910	cytokinesis	P	The division of the cytoplasm and the plasma membrane of a cell and its separation into two daughter cells.
GO:0000922	spindle pole	C	Either of the ends of a spindle, where spindle microtubules are organized; usually contains a microtubule organizing center and accessory molecules, spindle microtubules and astral microtubules.
GO:0000928	gamma-tubulin small complex, spindle pole body	C	A complex composed of two gamma-tubulin molecules and conserved non-tubulin proteins located in the spindle pole body and isolated by fractionation from cells. The complex, approximately 6S-9S, is analogous to the small complex in animal cells but contains fewer subunits, and is not thought to multimerize into larger functional units, like complexes in those organisms. An example of this structure is found in Saccharomyces cerevisiae.
GO:0000932	cytoplasmic mRNA processing body	C	A focus in the cytoplasm where mRNAs may become inactivated by decapping or some other mechanism. mRNA processing and binding proteins are localized to these foci.
GO:0000938	GARP complex	C	A quatrefoil tethering complex required for retrograde traffic from the early endosome back to the late Golgi and biogenesis of cytoplasmic vesicles.
GO:0000942	condensed nuclear chromosome outer kinetochore	C	The region of a condensed nuclear chromosome kinetochore most external to centromeric DNA; this outer region mediates kinetochore-microtubule interactions.
GO:0000974	Prp19 complex	C	A protein complex consisting of Prp19 and associated proteins that is involved in the transition from the precatalytic spliceosome to the activated form that catalyzes step 1 of splicing, and which remains associated with the spliceosome through the second catalytic step. It is widely conserved, found in both yeast and mammals, though the exact composition varies. In S. cerevisiae, it contains Prp19p, Ntc20p, Snt309p, Isy1p, Syf2p, Cwc2p, Prp46p, Clf1p, Cef1p, and Syf1p.
GO:0000988	protein binding transcription factor activity	F	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules), in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.
GO:0001071	nucleic acid binding transcription factor activity	F	Interacting selectively and non-covalently with a DNA or RNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.
GO:0001401	mitochondrial sorting and assembly machinery complex	C	A large complex of the mitochondrial outer membrane that mediates sorting of some imported proteins to the outer membrane and their assembly in the membrane; functions after import of incoming proteins by the mitochondrial outer membrane translocase complex.
GO:0001403	invasive growth in response to glucose limitation	P	A growth pattern exhibited by budding haploid cells under certain growth conditions, in which cells retain the typical axial budding pattern of haploids, but become elongated and fail to separate after division; during growth on a solid substrate, this results in penetration of cells into the agar medium. An example of this process is found in Saccharomyces cerevisiae.
GO:0001405	presequence translocase-associated import motor	C	Protein complex located on the matrix side of the mitochondrial inner membrane and associated with the presequence translocase complex; hydrolyzes ATP to provide the force to drive import of proteins into the mitochondrial matrix.
GO:0002181	cytoplasmic translation	P	The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein.
GO:0003674	molecular_function	F	Elemental activities, such as catalysis or binding, describing the actions of a gene product at the molecular level. A given gene product may exhibit one or more molecular functions.
GO:0003677	DNA binding	F	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0003682	chromatin binding	F	Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.
GO:0003723	RNA binding	F	Interacting selectively and non-covalently with an RNA molecule or a portion thereof.
GO:0003729	mRNA binding	F	Interacting selectively and non-covalently with messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns.
GO:0003735	structural constituent of ribosome	F	The action of a molecule that contributes to the structural integrity of the ribosome.
GO:0003924	GTPase activity	F	Catalysis of the reaction: GTP + H2O = GDP + phosphate.
GO:0004386	helicase activity	F	Catalysis of the reaction: NTP + H2O = NDP + phosphate, to drive the unwinding of a DNA or RNA helix.
GO:0004518	nuclease activity	F	Catalysis of the hydrolysis of ester linkages within nucleic acids.
GO:0004871	signal transducer activity	F	Conveys a signal across a cell to trigger a change in cell function or state. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.
GO:0005085	guanyl-nucleotide exchange factor activity	F	Stimulates the exchange of guanyl nucleotides associated with a GTPase. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase.
GO:0005198	structural molecule activity	F	The action of a molecule that contributes to the structural integrity of a complex or assembly within or outside a cell.
GO:0005575	cellular_component	C	The part of a cell or its extracellular environment in which a gene product is located. A gene product may be located in one or more parts of a cell and its location may be as specific as a particular macromolecular complex, that is, a stable, persistent association of macromolecules that function together.
GO:0005576	extracellular region	C	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.
GO:0005618	cell wall	C	The rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal, most prokaryotic cells and some protozoan parasites, maintaining their shape and protecting them from osmotic lysis. In plants it is made of cellulose and, often, lignin; in fungi it is composed largely of polysaccharides; in bacteria it is composed of peptidoglycan; in protozoan parasites such as Giardia species, it's made of carbohydrates and proteins.
GO:0005634	nucleus	C	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.
GO:0005643	nuclear pore	C	Any of the numerous similar discrete openings in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined.
GO:0005655	nucleolar ribonuclease P complex	C	A ribonuclease P complex located in the nucleolus of a eukaryotic cell, where it catalyzes the 5' endonucleolytic cleavage of precursor tRNAs to yield mature tRNAs. Eukaryotic nucleolar ribonuclease P complexes generally contain a single RNA molecule that is necessary but not sufficient for catalysis, and several protein molecules.
GO:0005656	nuclear pre-replicative complex	C	A protein-DNA complex assembled at eukaryotic DNA replication origins during late mitosis and G1, allowing the origin to become competent, or 'licensed', for replication. The complex normally includes the origin recognition complex (ORC), Cdc6, Cdt1 and the MiniChromosome Maintenance (Mcm2-7) proteins.
GO:0005658	alpha DNA polymerase:primase complex	C	A complex of four polypeptides, comprising large and small DNA polymerase alpha subunits and two primase subunits, which catalyzes the synthesis of an RNA primer on the lagging strand of replicating DNA; the smaller of the two primase subunits alone can catalyze oligoribonucleotide synthesis.
GO:0005662	DNA replication factor A complex	C	A conserved heterotrimeric complex that binds nonspecifically to single-stranded DNA and is required for multiple processes in eukaryotic DNA metabolism, including DNA replication, DNA repair, and recombination. In all eukaryotic organisms examined the complex is composed of subunits of approximately 70, 30, and 14 kDa.
GO:0005663	DNA replication factor C complex	C	A complex of five polypeptides in eukaryotes, and two in prokaryotes, that loads the DNA polymerase processivity factor proliferating cell nuclear antigen (PCNA) onto DNA, thereby permitting processive DNA synthesis catalyzed by DNA polymerase.
GO:0005664	nuclear origin of replication recognition complex	C	A multisubunit complex that is located at the replication origins of a chromosome in the nucleus.
GO:0005665	DNA-directed RNA polymerase II, core complex	C	RNA polymerase II, one of three nuclear DNA-directed RNA polymerases found in all eukaryotes, is a multisubunit complex; typically it produces mRNAs, snoRNAs, and some of the snRNAs. Two large subunits comprise the most conserved portion including the catalytic site and share similarity with other eukaryotic and bacterial multisubunit RNA polymerases. The largest subunit of RNA polymerase II contains an essential carboxyl-terminal domain (CTD) composed of a variable number of heptapeptide repeats (YSPTSPS). The remainder of the complex is composed of smaller subunits (generally ten or more), some of which are also found in RNA polymerases I and III. Although the core is competent to mediate ribonucleic acid synthesis, it requires additional factors to select the appropriate template.
GO:0005666	DNA-directed RNA polymerase III complex	C	RNA polymerase III, one of three nuclear DNA-directed RNA polymerases found in all eukaryotes, is a multisubunit complex; typically it produces 5S rRNA, tRNAs and some of the small nuclear RNAs. Two large subunits comprise the most conserved portion including the catalytic site and share similarity with other eukaryotic and bacterial multisubunit RNA polymerases. The remainder of the complex is composed of smaller subunits (generally ten or more), some of which are also found in RNA polymerase I and others of which are also found in RNA polymerases I and II. Although the core is competent to mediate ribonucleic acid synthesis, it requires additional factors to select the appropriate template.
GO:0005667	transcription factor complex	C	A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription.
GO:0005669	transcription factor TFIID complex	C	A complex composed of TATA binding protein (TBP) and TBP associated factors (TAFs); the total mass is typically about 800 kDa. Most of the TAFs are conserved across species. In TATA-containing promoters for RNA polymerase II (Pol II), TFIID is believed to recognize at least two distinct elements, the TATA element and a downstream promoter element. TFIID is also involved in recognition of TATA-less Pol II promoters. Binding of TFIID to DNA is necessary but not sufficient for transcription initiation from most RNA polymerase II promoters.
GO:0005671	Ada2/Gcn5/Ada3 transcription activator complex	C	A multiprotein complex that possesses histone acetyltransferase and is involved in regulation of transcription. Contains either GCN5 or PCAF in a mutually exclusive manner. The budding yeast complex includes Gcn5p, two proteins of the Ada family, and two TBP-associate proteins (TAFs); analogous complexes in other species have analogous compositions, and usually contain homologs of the yeast proteins. Both ATAC- or SAGA (see GO:0000124, SAGA complex) are involved in the acetylation of histone H3K9 and K14 residues.
GO:0005672	transcription factor TFIIA complex	C	A component of the transcription machinery of RNA Polymerase II. In humans, TFIIA is a heterotrimer composed of an alpha (P35), beta (P19) and gamma subunits (P12).
GO:0005673	transcription factor TFIIE complex	C	A transcription factor which in humans consists of a complex of two alpha and two beta chains. Recruits TFIIH to the initiation complex and helps activate both RNA polymerase II and TFIIH.
GO:0005674	transcription factor TFIIF complex	C	A general transcription initiation factor which in humans consists of a heterodimer of an alpha and a beta subunit. Helps recruit RNA polymerase II to the initiation complex and promotes translation elongation.
GO:0005675	holo TFIIH complex	C	A complex that is capable of kinase activity directed towards the C-terminal Domain (CTD) of the largest subunit of RNA polymerase II and is essential for initiation at RNA polymerase II promoters in vitro. It is composed of the core TFIIH complex and the TFIIK complex.
GO:0005677	chromatin silencing complex	C	Any protein complex that mediates changes in chromatin structure that result in transcriptional silencing.
GO:0005680	anaphase-promoting complex	C	A ubiquitin ligase complex that degrades mitotic cyclins and anaphase inhibitory protein, thereby triggering sister chromatid separation and exit from mitosis. Substrate recognition by APC occurs through degradation signals, the most common of which is termed the Dbox degradation motif, originally discovered in cyclin B.
GO:0005681	spliceosomal complex	C	Any of a series of ribonucleoprotein complexes that contain RNA and small nuclear ribonucleoproteins (snRNPs), and are formed sequentially during the splicing of a messenger RNA primary transcript to excise an intron.
GO:0005682	U5 snRNP	C	A ribonucleoprotein complex that contains small nuclear RNA U5.
GO:0005684	U2-type spliceosomal complex	C	Any spliceosomal complex that forms during the splicing of a messenger RNA primary transcript to excise an intron that has canonical consensus sequences near the 5' and 3' ends.
GO:0005685	U1 snRNP	C	A ribonucleoprotein complex that contains small nuclear RNA U1.
GO:0005686	U2 snRNP	C	A ribonucleoprotein complex that contains small nuclear RNA U2.
GO:0005688	U6 snRNP	C	A ribonucleoprotein complex that contains small nuclear RNA U6.
GO:0005694	chromosome	C	A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information.
GO:0005697	telomerase holoenzyme complex	C	Telomerase is a ribonucleoprotein enzyme complex, with a minimal catalytic core composed of a catalytic reverse transcriptase subunit and an RNA subunit that provides the template for telomeric DNA addition. In vivo, the holoenzyme complex often contains additional subunits.
GO:0005730	nucleolus	C	A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.
GO:0005732	small nucleolar ribonucleoprotein complex	C	A ribonucleoprotein complex that contains an RNA molecule of the small nucleolar RNA (snoRNA) family and associated proteins. Most are involved in a step of processing of rRNA: cleavage, 2'-O-methylation, or pseudouridylation. The majority, though not all, fall into one of two classes, box C/D type or box H/ACA type.
GO:0005736	DNA-directed RNA polymerase I complex	C	RNA polymerase I, one of three nuclear DNA-directed RNA polymerases found in all eukaryotes, is a multisubunit complex; typically it produces rRNAs. Two large subunits comprise the most conserved portion including the catalytic site and share similarity with other eukaryotic and bacterial multisubunit RNA polymerases. The remainder of the complex is composed of smaller subunits (generally ten or more), some of which are also found in RNA polymerase III and others of which are also found in RNA polymerases II and III. Although the core is competent to mediate ribonucleic acid synthesis, it requires additional factors to select the appropriate template.
GO:0005737	cytoplasm	C	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.
GO:0005739	mitochondrion	C	A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.
GO:0005740	mitochondrial envelope	C	The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space.
GO:0005742	mitochondrial outer membrane translocase complex	C	A large complex of the mitochondrial outer membrane that mediates transport of proteins into all mitochondrial compartments.
GO:0005744	mitochondrial inner membrane presequence translocase complex	C	The protein transport machinery of the mitochondrial inner membrane that contains three essential Tim proteins: Tim17 and Tim23 are thought to build a preprotein translocation channel while Tim44 interacts transiently with the matrix heat-shock protein Hsp70 to form an ATP-driven import motor.
GO:0005745	m-AAA complex	C	Protease complex of the mitochondrial inner membrane that is involved in mitochondrial protein turnover and in processing of proteins imported into mitochondria.
GO:0005749	mitochondrial respiratory chain complex II	C	A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. Contains the four polypeptide subunits of succinate dehydrogenase, flavin-adenine dinucleotide and iron-sulfur. Catalyzes the oxidation of succinate by ubiquinone. Connects the TCA cycle with the respiratory chain.
GO:0005750	mitochondrial respiratory chain complex III	C	A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. Contains about 10 polypeptide subunits including four redox centers: cytochrome b/b6, cytochrome c1 and an 2Fe-2S cluster. Catalyzes the oxidation of ubiquinol by oxidized cytochrome c1.
GO:0005751	mitochondrial respiratory chain complex IV	C	A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. Contains the 13 polypeptide subunits of cytochrome c oxidase, including cytochrome a and cytochrome a3. Catalyzes the oxidation of reduced cytochrome c by dioxygen (O2).
GO:0005753	mitochondrial proton-transporting ATP synthase complex	C	A proton-transporting ATP synthase complex found in the mitochondrial membrane.
GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core	C	The hexamer, comprising three alpha and three beta subunits, that possesses the catalytic activity of the mitochondrial hydrogen-transporting ATP synthase.
GO:0005756	mitochondrial proton-transporting ATP synthase, central stalk	C	One of two stalks that connect the catalytic core of the hydrogen-transporting ATP synthase to the mitochondrial membrane-associated F0 proteins; rotates within the catalytic core during catalysis.
GO:0005761	mitochondrial ribosome	C	A ribosome found in the mitochondrion of a eukaryotic cell; contains a characteristic set of proteins distinct from those of cytosolic ribosomes.
GO:0005762	mitochondrial large ribosomal subunit	C	The larger of the two subunits of a mitochondrial ribosome. Two sites on the ribosomal large subunit are involved in translation: the aminoacyl site (A site) and peptidyl site (P site).
GO:0005763	mitochondrial small ribosomal subunit	C	The smaller of the two subunits of a mitochondrial ribosome.
